SysTime,Real_UAV_X,Real_UAV_Y,Real_UAV_Z,Real_Boat_X,Real_Boat_Y,Real_Boat_Z
1.77279e+09,3.10715,0.0137395,0.286176,4.92,0,0.25321
1.77279e+09,3.10565,0.0124285,0.236238,4.92,0,0.25321
1.77279e+09,3.10453,0.0116341,0.20365,4.92,0,0.268003
1.77279e+09,3.1035,0.0109843,0.175409,4.92,0,0.268003
1.77279e+09,3.10252,0.0104161,0.149354,4.92,0,0.268004
1.77279e+09,3.10128,0.00974843,0.116822,4.92,0,0.268004
1.77279e+09,3.1007,0.00945288,0.101663,4.92,0,0.268004
1.77279e+09,3.09882,0.0085157,0.0498458,4.92,0,0.268004
1.77279e+09,3.09796,0.00809044,0.0240588,4.92,0,0.280078
1.77279e+09,3.097,0.00759837,-0.00802095,4.92,0,0.280078
1.77279e+09,3.0963,0.00720654,-0.035654,4.92,0,0.280078
1.77279e+09,3.0958,0.00687255,-0.0609954,4.92,0,0.280078
1.77279e+09,3.09542,0.00653981,-0.0882401,4.92,0,0.280078
1.77279e+09,3.09538,0.00649124,-0.0924105,4.92,0,0.280079
1.77279e+09,3.09538,0.00590089,-0.148086,4.92,0,0.280079
1.77279e+09,3.09575,0.00567583,-0.172413,4.92,0,0.280079
1.77279e+09,3.0968,0.00537851,-0.208337,4.92,0,0.289377
1.77279e+09,3.09788,0.00520574,-0.231867,4.92,0,0.289377
1.77279e+09,3.0997,0.00501658,-0.260757,4.92,0,0.289378
1.77279e+09,3.10174,0.00487526,-0.285287,4.92,0,0.289378
1.77279e+09,3.10302,0.00480734,-0.298286,4.92,0,0.289378
1.77279e+09,3.107,0.00465715,-0.330996,4.92,0,0.289378
1.77279e+09,3.11021,0.00457512,-0.352193,4.92,0,0.289378
1.77279e+09,3.11491,0.00449103,-0.377947,4.92,0,0.295763
1.77279e+09,3.12042,0.00442541,-0.402822,4.92,0,0.295764
1.77279e+09,3.12591,0.00438183,-0.423624,4.92,0,0.295764
1.77279e+09,3.13159,0.00435128,-0.442169,4.92,0,0.295764
1.77279e+09,3.13413,0.00434103,-0.449703,4.92,0,0.295764
1.77279e+09,3.14604,0.00431176,-0.480064,4.92,0,0.295764
1.77279e+09,3.15444,0.0043031,-0.497782,4.92,0,0.295764
1.77279e+09,3.16294,0.00430024,-0.513369,4.92,0,0.299213
1.77279e+09,3.17458,0.00430218,-0.531781,4.92,0,0.299213
1.77279e+09,3.18743,0.00430867,-0.548959,4.92,0,0.299213
1.77279e+09,3.19478,0.00431344,-0.557602,4.92,0,0.299213
1.77279e+09,3.20954,0.00432388,-0.572814,4.92,0,0.299213
1.77279e+09,3.2256,0.00433508,-0.5867,4.92,0,0.299213
1.77279e+09,3.23941,0.00434371,-0.596827,4.92,0,0.299213
1.77279e+09,3.25536,0.00435198,-0.606792,4.92,0,0.299213
1.77279e+09,3.27102,0.004358,-0.615046,4.92,0,0.29967
1.77279e+09,3.29186,0.0043626,-0.624072,4.92,0,0.29967
1.77279e+09,3.29621,0.00436305,-0.625704,4.92,0,0.29967
1.77279e+09,3.33302,0.00436009,-0.63666,4.92,0,0.29967
1.77279e+09,3.35793,0.00435147,-0.641589,4.92,0,0.29967
1.77279e+09,3.3807,0.00433927,-0.644649,4.92,0,0.29967
1.77279e+09,3.40269,0.00432385,-0.646468,4.92,0,0.29967
1.77279e+09,3.42755,0.00430246,-0.647343,4.92,0,0.297133
1.77279e+09,3.4374,0.0042929,-0.647376,4.92,0,0.297133
1.77279e+09,3.48261,0.00424173,-0.645509,4.92,0,0.297133
1.77279e+09,3.51512,0.00419804,-0.642357,4.92,0,0.297133
1.77279e+09,3.54897,0.0041468,-0.63768,4.92,0,0.297133
1.77279e+09,3.57933,0.00409589,-0.632397,4.92,0,0.297133
1.77279e+09,3.60818,0.00404317,-0.626511,4.92,0,0.297133
1.77279e+09,3.64027,0.00397945,-0.619052,4.92,0,0.291623
1.77279e+09,3.64528,0.00396901,-0.617805,4.92,0,0.291623
1.77279e+09,3.70951,0.00382343,-0.600012,4.92,0,0.291623
1.77279e+09,3.74933,0.00372225,-0.587394,4.92,0,0.291623
1.77279e+09,3.79001,0.00361071,-0.573346,4.92,0,0.291623
1.77279e+09,3.83144,0.00348936,-0.557893,4.92,0,0.291623
1.77279e+09,3.86788,0.00337706,-0.54339,4.92,0,0.291623
1.77279e+09,3.88768,0.0033142,-0.535161,4.92,0,0.2832
1.77279e+09,3.93335,0.00316541,-0.515273,4.92,0,0.2832
1.77279e+09,3.97657,0.00302122,-0.49529,4.92,0,0.2832
1.77279e+09,4.0201,0.00287467,-0.474049,4.92,0,0.2832
1.77279e+09,4.0638,0.00272787,-0.451589,4.92,0,0.2832
1.77279e+09,4.10758,0.00258281,-0.427954,4.92,0,0.2832
1.77279e+09,4.14548,0.00245981,-0.406557,4.92,0,0.2832
1.77279e+09,4.14548,0.00245981,-0.406557,4.92,0,0.271932
1.77279e+09,4.21221,0.00225127,-0.366745,4.92,0,0.271932
1.77279e+09,4.25532,0.00212296,-0.339536,4.92,0,0.271932
1.77279e+09,4.29231,0.00201731,-0.315241,4.92,0,0.271932
1.77279e+09,4.33447,0.0019022,-0.286475,4.92,0,0.271932
1.77279e+09,4.37595,0.00179459,-0.25703,4.92,0,0.271932
1.77279e+09,4.40857,0.00171401,-0.233069,4.92,0,0.271932
1.77279e+09,4.40857,0.00171401,-0.233069,4.92,0,0.271932
1.77279e+09,4.4876,0.00153414,-0.172029,4.92,0,0.257975
1.77279e+09,4.52058,0.00146573,-0.145264,4.92,0,0.257975
1.77279e+09,4.55757,0.00139378,-0.114306,4.92,0,0.257975
1.77279e+09,4.58629,0.00134147,-0.0895665,4.92,0,0.257975
1.77279e+09,4.62104,0.00128236,-0.0587951,4.92,0,0.257975
1.77279e+09,4.63233,0.00126413,-0.0485985,4.92,0,0.257975
1.77279e+09,4.68641,0.00118337,0.00168743,4.92,0,0.241434
1.77279e+09,4.71292,0.00114764,0.0272196,4.92,0,0.241434
1.77279e+09,4.73639,0.00111804,0.0502952,4.92,0,0.241434
1.77279e+09,4.76435,0.00108519,0.0783503,4.92,0,0.241434
1.77279e+09,4.79076,0.00105648,0.105387,4.92,0,0.241434
1.77279e+09,4.79921,0.00104776,0.114148,4.92,0,0.241434
1.77279e+09,4.83435,0.00101388,0.151019,4.92,0,0.241434
1.77279e+09,4.85637,0.000994605,0.174436,4.92,0,0.222493
1.77279e+09,4.8742,0.000980176,0.193486,4.92,0,0.222493
1.77279e+09,4.88939,0.000969044,0.210059,4.92,0,0.222493
1.77279e+09,4.90606,0.000958681,0.22948,4.92,0,0.222492
1.77279e+09,4.91384,0.000954321,0.239211,4.92,0,0.222492
1.77279e+09,4.93094,0.000940477,0.262369,4.92,0,0.222492
