Time,UAV_X,UAV_Y,UAV_Z,Boat_X,Boat_Y,Boat_Z,Dist_XY,Dist_Z,Rel_Speed,Rel_VZ,Wave_Z,Success,Reason
1.77486e+09,3.01186,18.4805,-0.217045,3.00779,18.0467,-1.96537,0.433826,1.74833,0.635131,0.552817,-1.96537,0,Timeout_Fail
1.77486e+09,2.88072,18.7065,0.820879,3.07554,18.4532,1.4176,0.319487,0.596724,1.47306,0.853956,1.4176,1,Touchdown_Success
1.77486e+09,4.11292,24.7101,-1.69898,3.96558,23.7935,0.684869,0.928408,2.38385,1.61513,1.6074,0.684869,0,Timeout_Fail
1.77486e+09,4.07318,24.506,-1.013,4.09135,24.5481,-0.980009,0.0458615,0.0329947,2.83187,1.99816,-0.980009,1,Touchdown_Success
1.77486e+09,3.34354,19.2976,0.566385,3.26499,19.5899,1.16613,0.302742,0.59974,2.50855,0.471103,1.16613,1,Touchdown_Success
1.77486e+09,3.04767,17.7226,-1.07174,2.8356,17.0136,1.07252,0.74,2.14426,0.943875,0.917621,1.07252,0,Timeout_Fail
1.77486e+09,3.42987,19.3504,-1.70497,3.14034,18.842,1.30639,0.585055,3.01136,2.02945,1.04376,1.30639,0,Timeout_Fail
1.77486e+09,4.14631,17.4087,0.343422,2.9934,17.9604,1.9745,1.27812,1.63107,2.74446,2.00748,1.9745,0,Timeout_Fail
1.77486e+09,3.00569,17.8987,-0.566052,2.90493,17.4296,1.85564,0.479825,2.4217,0.336784,0.214922,1.85564,0,Timeout_Fail
1.77486e+09,2.49064,17.2958,-1.18302,2.88375,17.3025,-1.17129,0.393171,0.0117247,2.72395,1.51688,-1.17129,1,Touchdown_Success
1.77487e+09,2.95432,18.4817,-0.548314,3.11653,18.6992,1.94946,0.271341,2.49777,0.832311,0.339792,1.94946,0,Timeout_Fail
1.77487e+09,3.45959,18.3794,0.435338,3.10599,18.6359,0.649611,0.43687,0.214273,1.72613,0.0897668,0.649611,1,Touchdown_Success
1.77487e+09,3.18228,17.5207,0.404533,2.98588,17.9153,0.29272,0.440804,0.111813,1.34499,0.73422,0.29272,1,Touchdown_Success
1.77487e+09,2.85512,17.7734,-0.825379,3.12034,18.7221,-1.71343,0.985063,0.888051,1.41114,0.360481,-1.71343,0,Timeout_Fail
1.77487e+09,2.71859,16.3524,1.29232,2.75974,16.5585,1.28517,0.210144,0.00714919,2.6114,2.1572,1.28517,1,Touchdown_Success
1.77487e+09,2.84493,18.0805,0.0572317,2.92531,17.5519,1.92606,0.53471,1.86882,0.738041,0.631671,1.92606,0,Timeout_Fail
1.77487e+09,2.40794,15.4548,1.14859,2.6382,15.8292,1.69708,0.439516,0.548493,2.78444,2.29016,1.69708,1,Touchdown_Success
1.77487e+09,3.16374,18.2771,-0.0636295,2.97306,17.8384,1.97029,0.478381,2.03392,0.931798,0.784121,1.97029,0,Timeout_Fail
1.77487e+09,2.66602,15.1169,1.61219,2.59175,15.5505,1.98951,0.439899,0.377321,2.19321,0.97517,1.98951,1,Touchdown_Success
1.77487e+09,3.35875,20.2864,-1.81762,3.35169,20.1102,-1.95091,0.176324,0.133293,2.98387,1.62868,-1.95091,1,Touchdown_Success
1.77487e+09,3.27902,20.2528,-1.55619,3.29245,19.7547,-1.82756,0.498324,0.271373,0.891385,0.107422,-1.82756,1,Timeout_Acceptable
1.77487e+09,2.99272,17.4559,-0.264621,2.82851,16.971,-1.84674,0.511925,1.58211,0.872758,0.829303,-1.84674,0,Timeout_Fail
1.77487e+09,3.76561,22.5433,-1.70896,3.68628,22.1177,-1.15939,0.432962,0.549567,1.66895,0.126655,-1.15939,1,Touchdown_Success
1.77487e+09,2.46784,17.0647,1.14673,2.87233,17.234,1.10985,0.438474,0.0368742,1.66186,1.42416,1.10985,1,Touchdown_Success
1.77487e+09,3.03076,17.9425,-0.535254,2.89786,17.3871,1.95456,0.571061,2.48981,0.53691,0.297353,1.95456,0,Timeout_Fail
1.77487e+09,4.07225,19.3797,-3.17562,3.24334,19.4601,1.85496,0.832792,5.03058,8.79576,8.25913,1.85496,0,Timeout_Fail
1.77487e+09,2.97245,17.7132,-0.335234,2.95833,17.75,1.85356,0.0393996,2.18879,2.15195,1.93906,1.85356,0,Timeout_Fail
1.77487e+09,2.81163,17.1476,0.144849,2.7654,16.5924,1.98681,0.557169,1.84196,2.65537,0.940785,1.98681,0,Timeout_Fail
1.77487e+09,3.0399,18.3955,-1.14662,2.95509,17.7306,-1.99374,0.670316,0.847122,0.937534,0.743709,-1.99374,0,Timeout_Fail
1.77487e+09,3.00649,18.075,-0.00868202,2.94678,17.6807,1.31478,0.398827,1.32347,1.17625,1.12697,1.31478,1,Timeout_Acceptable
1.77487e+09,3.05265,17.9969,-0.597246,2.91454,17.4873,-1.97087,0.52801,1.37363,0.875948,0.254919,-1.97087,0,Timeout_Fail
1.77487e+09,4.1687,23.2326,-1.2695,3.88759,23.3255,-1.31,0.296061,0.0405,2.04559,0.894583,-1.31,1,Touchdown_Success
1.77487e+09,3.2779,19.1612,0.797977,3.1239,18.7434,1.22098,0.445295,0.423,1.52898,0.718352,1.22098,1,Touchdown_Success
1.77487e+09,3.17887,18.6137,1.36529,3.03307,18.1984,1.91852,0.44008,0.553231,0.604185,0.370533,1.91852,1,Touchdown_Success
1.77487e+09,3.15458,18.6448,-1.27116,3.05533,18.332,-1.80731,0.328196,0.536147,0.497478,0.0545887,-1.80731,0,Timeout_Fail
1.77487e+09,4.05684,23.5101,-1.86423,3.81257,22.8754,-1.78593,0.680049,0.0783053,0.618583,0.42682,-1.78593,0,Timeout_Fail
1.77487e+09,4.02565,28.1819,-2.96653,4.30863,25.8518,-0.26005,2.34724,2.70648,3.68132,3.43923,-0.26005,0,Timeout_Fail
1.77487e+09,2.64665,18.3582,-1.72867,2.84429,17.0657,-1.27134,1.30747,0.457336,1.0016,0.20083,-1.27134,0,Timeout_Fail
1.77487e+09,3.46949,20.4231,-0.266045,3.3143,19.8858,1.91808,0.559269,2.18413,0.72204,0.667669,1.91808,0,Timeout_Fail
1.77487e+09,3.42686,20.3324,-1.20725,3.35469,20.1281,-1.35495,0.216648,0.147701,2.8311,0.841364,-1.35495,1,Touchdown_Success
1.77487e+09,3.05314,18.2967,-1.65528,3.01092,18.0655,-1.79272,0.235015,0.137438,2.09289,1.15709,-1.79272,1,Touchdown_Success
1.77487e+09,3.66888,22.1025,-4.3146,3.67928,22.0757,0.610861,0.0287622,4.92546,1.71882,1.71391,0.610861,0,Timeout_Fail
1.77487e+09,4.08935,23.6748,-1.68312,3.86239,23.1743,-0.889009,0.549581,0.794108,1.05234,0.662153,-0.889009,1,Timeout_Acceptable
1.77487e+09,2.60664,18.0408,-2.16666,2.96067,17.764,-1.82713,0.44941,0.339531,2.17693,1.46308,-1.82713,1,Touchdown_Success
1.77487e+09,4.44912,25.8258,-3.90715,4.06728,24.4037,-0.57257,1.47246,3.33458,2.28632,2.2336,-0.57257,0,Timeout_Fail
1.77487e+09,3.64318,21.9053,-1.40308,3.69321,22.1593,-1.42018,0.258812,0.017104,2.96728,2.32864,-1.42018,1,Touchdown_Success
1.77487e+09,2.98302,18.1107,0.492063,2.96323,17.7794,1.03195,0.331921,0.539892,2.81235,0.151971,1.03195,1,Touchdown_Success
1.77487e+09,3.11202,19.0966,-1.01526,3.10672,18.6403,-1.89036,0.456349,0.875091,2.34828,1.959,-1.89036,0,Timeout_Fail
1.77487e+09,3.06149,18.7353,-0.133685,3.03215,18.1929,1.52039,0.543162,1.65408,1.71464,0.486598,1.52039,0,Timeout_Fail
1.77487e+09,3.51619,20.6504,-1.25433,3.34546,20.0728,-1.98755,0.602356,0.733228,0.253806,0.234378,-1.98755,0,Timeout_Fail
1.77487e+09,2.26957,17.3391,1.89324,2.9288,17.5728,1.72106,0.699435,0.172177,3.43889,3.32422,1.72106,0,Timeout_Fail
1.77487e+09,2.7836,18.9289,-2.42654,3.18133,19.088,-1.97811,0.428357,0.448431,2.77548,2.16294,-1.97811,1,Touchdown_Success
1.77493e+09,2.75207,19.0461,0.49521,2.90986,17.4592,0.597316,1.59472,0.102106,2.46358,2.07446,0.597316,0,Timeout_Fail
1.77493e+09,2.4756,15.6225,1.19936,2.6694,16.0164,1.43703,0.43896,0.237672,2.52447,2.06839,1.43703,1,Touchdown_Success
1.77493e+09,2.79651,17.0501,-1.50455,2.88172,17.2903,-1.54105,0.254838,0.0365016,2.99074,2.66457,-1.54105,1,Touchdown_Success
1.77493e+09,4.4351,26.9256,-1.73995,4.4136,26.4816,-1.82344,0.444549,0.083491,1.92976,1.37088,-1.82344,1,Touchdown_Success
1.77493e+09,3.18167,18.1368,0.225125,2.94768,17.6861,-1.08562,0.507858,1.31074,1.16426,0.918463,-1.08562,0,Timeout_Fail
1.77493e+09,3.49319,20.7019,-0.834701,3.43624,20.6174,-1.93749,0.10183,1.10279,3.08338,1.66752,-1.93749,0,Timeout_Fail
1.77493e+09,2.62563,19.3377,-0.301313,3.11343,18.6806,-0.324427,0.818379,0.0231145,2.30732,2.18251,-0.324427,0,Timeout_Fail
1.77493e+09,3.12446,18.1733,-3.67616,3.22456,19.3473,1.51995,1.17829,5.19611,5.83614,3.85071,1.51995,0,Timeout_Fail
1.77493e+09,4.30803,25.2293,-1.66,4.11486,24.6891,-0.83152,0.573671,0.828483,3.21499,0.972606,-0.83152,1,Timeout_Acceptable
1.77493e+09,2.96514,17.2385,-0.0782065,2.80349,16.821,0.188476,0.447755,0.266682,1.53412,1.51162,0.188476,1,Touchdown_Success
1.77493e+09,3.37813,20.6459,-1.80279,3.35016,20.101,-1.20847,0.545608,0.594323,1.67644,0.505379,-1.20847,1,Timeout_Acceptable
1.77493e+09,3.89295,21.1723,-0.592104,3.53953,21.2372,-0.0829232,0.359333,0.509181,1.73665,1.73245,-0.0829232,1,Touchdown_Success
1.77493e+09,3.16966,19.0713,-0.720194,3.09989,18.5993,-1.99645,0.477092,1.27626,0.332525,0.175652,-1.99645,0,Timeout_Fail
1.77493e+09,2.74906,17.8429,-0.185093,2.91615,17.4969,-1.99588,0.384245,1.81079,1.96562,0.156555,-1.99588,0,Timeout_Fail
1.77493e+09,3.54119,21.3321,-1.50876,3.4836,20.9016,-1.98903,0.43431,0.480265,0.250271,0.250183,-1.98903,0,Timeout_Fail
1.77493e+09,3.58464,21.7248,-1.62154,3.56077,21.3646,-1.75435,0.360903,0.13281,2.0955,1.58163,-1.75435,1,Touchdown_Success
1.77493e+09,3.23737,18.4832,-1.4391,3.0161,18.0966,-0.903421,0.445384,0.535676,2.86075,1.63513,-0.903421,1,Touchdown_Success
1.77493e+09,3.02692,19.1447,-1.32709,3.16533,18.992,-0.812057,0.206109,0.515035,2.9957,0.598939,-0.812057,1,Touchdown_Success
1.77493e+09,2.93167,20.2895,-1.78204,3.35859,20.1515,-1.30564,0.448651,0.476396,1.91576,1.23054,-1.30564,1,Touchdown_Success
1.77493e+09,2.98902,17.4581,-0.138107,2.83934,17.036,0.250374,0.447801,0.388481,1.53682,1.52384,0.250374,1,Touchdown_Success
1.77493e+09,3.03504,17.183,0.00670699,2.7748,16.6488,1.8046,0.594217,1.79789,3.02741,1.77067,1.8046,0,Timeout_Fail
1.77493e+09,3.59352,21.4507,-3.80757,3.75393,22.5236,0.794346,1.08486,4.60192,4.93312,3.07445,0.794346,0,Timeout_Fail
1.77493e+09,3.18818,19.2448,-0.192023,3.11283,18.677,-1.9777,0.57284,1.78568,0.383632,0.298684,-1.9777,0,Timeout_Fail
1.77493e+09,3.72404,22.1841,-4.37452,3.73218,22.3931,-0.0433835,0.209178,4.33114,1.83624,1.78371,-0.0433835,0,Timeout_Fail
1.77493e+09,3.42337,18.3162,-2.31531,3.08876,18.5326,-1.72235,0.398449,0.592957,0.94047,0.890392,-1.72235,1,Touchdown_Success
1.77493e+09,3.11118,19.0295,-1.67568,3.10636,18.6382,-1.82087,0.39133,0.145192,2.13828,2.00917,-1.82087,1,Touchdown_Success
1.77493e+09,2.75414,16.5831,-0.0549651,2.77182,16.6309,0.870081,0.0510037,0.925046,1.92151,1.85603,0.870081,1,Timeout_Acceptable
1.77493e+09,4.23084,25.7589,-1.75513,4.35917,26.155,-1.86973,0.416395,0.114609,2.99482,2.49711,-1.86973,1,Touchdown_Success
1.77493e+09,3.56991,21.2063,-1.61579,3.46272,20.7763,-1.75567,0.443128,0.139875,1.43396,0.991214,-1.75567,1,Touchdown_Success
1.77493e+09,2.52612,15.348,1.24024,2.62969,15.7781,1.64526,0.442449,0.405019,2.56632,1.98887,1.64526,1,Touchdown_Success
1.77493e+09,3.75732,22.6069,0.568732,3.77219,22.6331,1.16644,0.0301629,0.597709,1.44711,1.07664,1.16644,1,Touchdown_Success
1.77493e+09,2.42666,15.4184,1.34166,2.62776,15.7666,1.20749,0.402065,0.134174,2.65547,2.20466,1.20749,1,Touchdown_Success
1.77493e+09,3.21976,19.2145,-1.58968,3.12527,18.7516,0.755199,0.472396,2.34488,0.517762,0.337367,0.755199,0,Timeout_Fail
1.77493e+09,3.17113,19.1925,-0.463011,3.12498,18.7499,-1.94844,0.445022,1.48543,0.355396,0.212342,-1.94844,0,Timeout_Fail
1.77493e+09,2.67167,18.0734,-3.4082,3.05929,18.3557,-0.765183,0.479553,2.64302,1.87986,0.528185,-0.765183,0,Timeout_Fail
1.77493e+09,3.18709,18.796,0.703713,3.16476,18.9886,1.23447,0.193863,0.530761,0.591077,0.357464,1.23447,1,Touchdown_Success
1.77493e+09,3.28925,19.1431,0.708425,3.15092,18.9055,1.23532,0.274909,0.526892,1.87704,1.07921,1.23532,1,Touchdown_Success
1.77493e+09,2.87918,16.8952,-0.767499,2.79936,16.7961,-0.914693,0.127236,0.147194,2.69295,1.71126,-0.914693,1,Touchdown_Success
1.77493e+09,2.95901,17.3291,-0.421989,2.8115,16.869,0.958026,0.483184,1.38001,1.22472,1.21347,0.958026,1,Timeout_Acceptable
1.77493e+09,3.36986,20.0865,-1.49598,3.21784,19.307,-1.38243,0.794183,0.113555,0.207606,0.196282,-1.38243,0,Timeout_Fail
1.77493e+09,3.04771,16.8259,0.434227,2.766,16.596,1.2399,0.363661,0.805677,2.2983,1.76516,1.2399,1,Timeout_Acceptable
1.77493e+09,3.1233,18.1372,-1.0047,3.05958,18.3575,-1.14548,0.229351,0.140775,2.54837,2.46189,-1.14548,1,Touchdown_Success
1.77493e+09,2.82871,17.8411,-0.0422798,2.90291,17.4175,1.81824,0.430069,1.86052,0.698314,0.609159,1.81824,0,Timeout_Fail
1.77493e+09,3.06609,17.7907,-0.613821,2.87411,17.2446,-1.82722,0.578853,1.2134,0.860089,0.545787,-1.82722,0,Timeout_Fail
1.77493e+09,3.86497,23.5425,-1.136,3.94699,23.6819,0.953917,0.161735,2.08991,1.33406,0.726438,0.953917,0,Timeout_Fail
