SysTime,Real_UAV_X,Real_UAV_Y,Real_UAV_Z,Real_Boat_X,Real_Boat_Y,Real_Boat_Z,Real_UAV_VZ,Real_Boat_VZ
1.77555e+09,1.50684,14.6039,3.05205,1.50683,15.0683,-0.749573,-0.0672638,-2.7359e-05
1.77555e+09,1.50819,14.6176,3.051,1.50815,15.0815,-0.749574,-0.0726246,-2.7359e-05
1.77555e+09,1.50935,14.6295,3.05003,1.50943,15.0943,-0.749574,-0.0773927,-2.7359e-05
1.77555e+09,1.5105,14.6413,3.04899,1.51082,15.1082,-0.749574,-0.0822646,-2.7359e-05
1.77555e+09,1.51129,14.6495,3.04824,1.51208,15.1208,-0.749575,-0.0856955,-2.7359e-05
1.77555e+09,1.51129,14.6495,3.04824,1.51357,15.1357,-0.749575,-0.0856955,-2.7359e-05
1.77555e+09,1.51414,14.6793,3.0452,1.51514,15.1514,-0.749576,-0.09865,-2.7359e-05
1.77555e+09,1.51524,14.691,3.04388,1.51644,15.1644,-0.811737,-0.103916,-2.43814e-05
1.77555e+09,1.51625,14.7017,3.0426,1.51774,15.1774,-0.811737,-0.108863,-2.43814e-05
1.77555e+09,1.51733,14.7133,3.04115,1.51904,15.1904,-0.811738,-0.114311,-2.43814e-05
1.77555e+09,1.51832,14.7239,3.03975,1.52034,15.2034,-0.811738,-0.119419,-2.43814e-05
1.77555e+09,1.51947,14.7363,3.03804,1.52182,15.2182,-0.811738,-0.125466,-2.43814e-05
1.77555e+09,1.52068,14.7496,3.0361,1.52311,15.2311,-0.811739,-0.132026,-2.43814e-05
1.77555e+09,1.52189,14.7628,3.03407,1.52464,15.2464,-0.811739,-0.138702,-2.43814e-05
1.77555e+09,1.52292,14.7741,3.03223,1.52599,15.2599,-0.811739,-0.144577,-2.43814e-05
1.77555e+09,1.5241,14.7872,3.03001,1.52734,15.2734,-0.86584,-0.151434,-2.11422e-05
1.77555e+09,1.52465,14.7933,3.02894,1.52868,15.2868,-0.86584,-0.154656,-2.11422e-05
1.77555e+09,1.52628,14.8114,3.02559,1.53027,15.3027,-0.865841,-0.164401,-2.11422e-05
1.77555e+09,1.5272,14.8218,3.02359,1.53162,15.3162,-0.865841,-0.170037,-2.11422e-05
1.77555e+09,1.52819,14.8329,3.02133,1.53293,15.3293,-0.865841,-0.176199,-2.11422e-05
1.77555e+09,1.52947,14.8474,3.01827,1.53457,15.3457,-0.865842,-0.184335,-2.11422e-05
1.77555e+09,1.53045,14.8585,3.01583,1.53585,15.3585,-0.865842,-0.190617,-2.11422e-05
1.77555e+09,1.53082,14.8627,3.01487,1.53729,15.3729,-0.911389,-0.193045,-1.80234e-05
1.77555e+09,1.53266,14.8838,3.0099,1.53886,15.3886,-0.91139,-0.205281,-1.80234e-05
1.77555e+09,1.53354,14.8939,3.0074,1.54019,15.4019,-0.91139,-0.211208,-1.80234e-05
1.77555e+09,1.53463,14.9064,3.00417,1.54149,15.4149,-0.91139,-0.21868,-1.80234e-05
1.77555e+09,1.53556,14.9172,3.00129,1.54289,15.4289,-0.91139,-0.225177,-1.80234e-05
1.77555e+09,1.53642,14.9271,2.99855,1.54427,15.4427,-0.911391,-0.231183,-1.80234e-05
1.77555e+09,1.53713,14.9354,2.99621,1.54573,15.4573,-0.911391,-0.236199,-1.80234e-05
1.77555e+09,1.53868,14.9535,2.99089,1.54725,15.4725,-0.94789,-0.247294,-1.43499e-05
1.77555e+09,1.53951,14.9633,2.98789,1.54863,15.4863,-0.94789,-0.253368,-1.43499e-05
1.77555e+09,1.54055,14.9755,2.98403,1.55005,15.5005,-0.94789,-0.261004,-1.43499e-05
1.77555e+09,1.54159,14.9876,2.98006,1.55136,15.5136,-0.94789,-0.268689,-1.43499e-05
1.77555e+09,1.54213,14.9941,2.97789,1.55272,15.5272,-0.947891,-0.272808,-1.43499e-05
1.77555e+09,1.54342,15.0093,2.97262,1.55445,15.5445,-0.947891,-0.282642,-1.43499e-05
1.77555e+09,1.5443,15.0197,2.9689,1.55577,15.5577,-0.947891,-0.289408,-1.43499e-05
1.77555e+09,1.5453,15.0316,2.9645,1.55729,15.5729,-0.974761,-0.297261,-1.07543e-05
1.77555e+09,1.5463,15.0435,2.95998,1.55862,15.5862,-0.974761,-0.305129,-1.07543e-05
