
1.77624e+09,1.27663,22.8467,0.101458,1.31067,23.1067,-0.295562,0.262256,0.39702,0.892524,0.885654,-0.295562,1,Cylinder_Drop_Success
1.77624e+09,0.853385,18.6354,0.115348,0.883517,18.8352,-0.27429,0.202043,0.389638,1.02346,1.02331,-0.27429,1,Cylinder_Drop_Success
1.77624e+09,1.04107,20.2143,0.868352,1.05458,20.5458,0.47442,0.331794,0.393932,0.845406,0.843796,0.47442,1,Cylinder_Drop_Success
1.77624e+09,0.939892,19.2305,0.661771,0.95759,19.5759,0.40194,0.345841,0.259831,0.464833,0.272759,0.40194,1,Cylinder_Drop_Success
1.77624e+09,0.829227,18.4806,0.114116,0.861637,18.6164,-0.274169,0.139628,0.388285,0.985475,0.982927,-0.274169,1,Cylinder_Drop_Success
1.77624e+09,1.18965,22.0521,-0.269181,1.24465,22.4465,0.498662,0.398224,0.767843,0.407432,0.0434854,0.498662,1,Wave_Contact_Success
1.77624e+09,0.872366,18.4916,0.124997,0.869397,18.694,-0.268909,0.202389,0.393906,1.10605,1.10601,-0.268909,1,Cylinder_Drop_Success
1.77624e+09,1.10625,21.1449,0.149143,1.14649,21.4649,-0.242174,0.322549,0.391318,0.779864,0.766598,-0.242174,1,Cylinder_Drop_Success
1.77624e+09,0.855493,18.6792,0.115179,0.891266,18.9127,-0.279931,0.236194,0.395109,1.02319,1.02313,-0.279931,1,Cylinder_Drop_Success
1.77624e+09,1.19854,22.0081,0.126083,1.22266,22.2266,-0.272773,0.219771,0.398856,0.92081,0.920776,-0.272773,1,Cylinder_Drop_Success
1.77624e+09,0.94026,19.6679,0.106758,0.984429,19.8443,-0.280457,0.181848,0.387215,0.887159,0.886584,-0.280457,1,Cylinder_Drop_Success
1.77625e+09,0.807506,18.2093,0.257551,0.855394,18.5539,0.47675,0.347926,0.219198,0.772324,0.667704,0.47675,1,Cylinder_Drop_Success
1.77625e+09,0.839379,17.4127,0.36514,0.751577,17.5158,-0.024078,0.135371,0.389218,0.87311,0.526436,-0.024078,1,Cylinder_Drop_Success
1.77625e+09,0.915952,19.0365,0.0896327,0.938536,19.3854,0.247339,0.349601,0.157706,1.4061,1.36583,0.247339,1,Cylinder_Drop_Success
1.77625e+09,0.936589,18.1789,3.06172,1.0972,20.972,-0.321858,2.79773,3.38358,1.09501,0.380129,-0.321858,0,Timeout_Fail
1.77625e+09,0.936588,18.5537,3.06177,1.13629,21.3629,-0.492863,2.81624,3.55463,1.03937,0.0865754,-0.492863,0,Timeout_Fail
